sep=;
purchase_id;purchase_timestamp;delivery_timestamp;delivery_company
20001;2021-04-15T07:53:59;2021-04-19T07:54:56;620
20002;2021-03-11T10:25:17;2021-03-15T10:27:21;360
20003;2021-03-26T19:16:18;2021-03-31T19:18:29;620
20004;2021-02-09T23:10:38;2021-02-14T23:14:34;620
20005;2021-02-17T22:58:19;2021-02-22T23:01:47;360
20006;2021-01-15T15:40:16;2021-01-19T15:40:59;620
20007;2021-03-21T00:08:19;2021-03-26T00:08:34;516
20008;2021-01-10T21:35:39;2021-01-15T21:36:43;516
20009;2021-03-26T02:05:22;2021-03-30T02:09:44;620
20010;2021-01-02T11:53:08;2021-01-06T11:53:39;620
20011;2021-01-13T07:17:34;2021-01-18T07:22:07;620
20012;2021-03-20T03:28:04;2021-03-22T03:32:13;516
20013;2021-01-25T22:23:03;2021-01-28T22:24:22;360
20014;2021-04-15T16:58:33;2021-04-17T17:01:32;360
20015;2021-02-08T19:00:06;2021-02-11T19:01:42;360
20016;2021-01-14T20:38:23;2021-01-18T20:42:00;620
20017;2021-03-30T17:30:20;2021-04-03T17:34:19;516
20018;2021-03-02T14:26:23;2021-03-05T14:26:33;516
20019;2021-01-02T08:00:48;2021-01-06T08:03:59;360
20020;2021-03-21T07:12:10;2021-03-25T07:16:26;620
20021;2021-02-07T18:09:15;2021-02-10T18:12:27;360
20022;2021-03-01T02:05:45;2021-03-03T02:06:36;360
20023;2021-03-14T13:21:43;2021-03-18T13:23:06;620
20024;2021-03-30T00:29:42;2021-04-03T00:31:15;360
20025;2021-03-01T22:28:25;2021-03-05T22:32:48;516
20026;2021-01-05T17:41:44;2021-01-07T17:44:27;360
20027;2021-02-07T04:44:15;2021-02-10T04:48:49;360
20028;2021-02-26T10:27:35;2021-03-02T10:32:21;516
20029;2021-02-01T20:17:46;2021-02-03T20:20:34;360
20030;2021-01-29T14:42:48;2021-02-01T14:46:18;360
20031;2021-03-31T16:58:18;2021-04-02T17:02:21;516
20032;2021-03-04T01:31:02;2021-03-09T01:31:37;516
20033;2021-03-18T04:00:19;2021-03-23T04:00:58;360
20034;2021-01-01T04:16:38;2021-01-05T04:17:44;516
20035;2021-02-09T03:26:59;2021-02-12T03:28:39;620
20036;2021-01-28T02:06:56;2021-02-01T02:09:30;516
20037;2021-03-21T02:16:07;2021-03-23T02:17:21;360
20038;2021-04-01T11:57:11;2021-04-03T12:01:51;516
20039;2021-03-10T12:03:02;2021-03-13T12:06:35;360
20040;2021-01-19T08:48:07;2021-01-21T08:49:31;360
20041;2021-01-14T14:16:58;2021-01-19T14:18:17;360
20042;2021-03-22T07:09:56;2021-03-25T07:11:36;620
20043;2021-03-14T18:10:00;2021-03-18T18:12:13;360
20044;2021-04-03T03:26:41;2021-04-08T03:30:30;516
20045;2021-01-29T15:34:16;2021-01-31T15:35:35;360
20046;2021-02-28T19:46:52;2021-03-03T19:49:09;516
20047;2021-02-05T16:49:05;2021-02-09T16:51:48;360
20048;2021-01-22T00:00:44;2021-01-25T00:05:31;620
20049;2021-03-31T00:50:09;2021-04-02T00:52:11;516
20050;2021-03-14T05:44:42;2021-03-16T05:46:26;620
20051;2021-01-26T21:27:14;2021-01-30T21:27:24;360
20052;2021-01-20T05:35:23;2021-01-25T05:35:51;516
20053;2021-01-07T20:14:24;2021-01-12T20:16:54;516
20054;2021-03-03T04:18:27;2021-03-06T04:20:26;516
